,,recall,recall,recall,spec,spec,spec,f1,f1,f1,precision,precision,precision,npv,npv,npv,balanced_accuracy,balanced_accuracy,balanced_accuracy,youden,youden,youden,alerts_per_1000,alerts_per_1000,alerts_per_1000,auc,auc,auc
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
alpha,threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.35,0.7123779884000566,0.02360217464523508,10,0.7715002175555912,0.01710233796053608,10,0.45622693690793586,0.0041446279751841736,10,0.3359284790642271,0.009455781346709853,10,0.9431559906709055,0.0032020299866459515,10,0.741939102977824,0.0035441525643227357,10,0.4838782059556478,0.007088305128645514,10,295.9180857773573,17.98131082967708,10,0.8248809571913425,0.0014770795073437194,10
0.1,0.42,0.7623992078087424,0.046662604219070876,10,0.7276364302562576,0.03535204969961966,10,0.4431974845793995,0.008365054560975879,10,0.313675308208959,0.018930153048334848,10,0.9501144563187557,0.006415221153547495,10,0.7450178190325001,0.005905986392101814,10,0.49003563806500006,0.011811972784203525,10,340.6397824030274,36.90910925674699,10,0.8236321787679873,0.002439950731731297,10
0.1,0.5,0.7262837742254916,0.011908000572676734,10,0.761165181945176,0.008861405350075553,10,0.4537345982691918,0.0021000128520959234,10,0.3300101951667034,0.004617748920691868,10,0.9450084774469971,0.0016608239886130363,10,0.7437244780853338,0.0015917537147658672,10,0.48744895617066764,0.0031835074295317304,10,306.7506307158625,9.280375405605092,10,0.8246909812755762,0.0009843102344252927,10
0.3,0.35,0.6945961239213467,0.020082996447333055,10,0.7837131014267067,0.013557703729420953,10,0.45845961905865157,0.002819555972235367,10,0.34242730279857925,0.00814634810655872,10,0.9407069277784051,0.0026596674505579986,10,0.7391546126740267,0.0033834815961456643,10,0.4783092253480534,0.006766963192291333,10,282.9292809839168,14.453546965974779,10,0.8242039726751434,0.0009954920297175658,10
0.3,0.42,0.6645918800396096,0.08506303658666056,10,0.7954450729383745,0.058742973227839536,10,0.45536395032673316,0.010470332036897038,10,0.3514445195837495,0.03249516286388052,10,0.9369871370436694,0.011536860200584581,10,0.730018476488992,0.013188874779198204,10,0.4600369529779841,0.026377749558396345,10,268.6514506464838,62.40720275977592,10,0.8239389710103072,0.001926531426070302,10
0.3,0.5,0.7502475597680011,0.08399165202454639,10,0.7358875123090663,0.053095746419511626,10,0.44434811022815984,0.00716084169239443,10,0.32012235350978935,0.032967503042097016,10,0.9487628605120733,0.010963763805295377,10,0.7430675360385337,0.015906450756406815,10,0.4861350720770675,0.03181290151281363,10,331.8452380952381,57.34034681955856,10,0.8247857488610537,0.0017015191509758016,10
1.0,0.35,0.7922336964209931,0.00343161732699275,10,0.7063732337921085,0.003735266255975438,10,0.4394027089649226,0.0019017597147650458,10,0.3040161486333995,0.0020608238426292886,10,0.9545508320122348,0.0005583003534555184,10,0.7493034651065507,0.0012015457254073915,10,0.4986069302131015,0.002403091450814773,10,363.09720908230844,3.599514443910031,10,0.8249831518371252,0.0012370257300834133,10
1.0,0.42,0.786023482812279,0.01269582746329487,10,0.7090938237112694,0.010765192948768508,10,0.43880395474925676,0.003022827413053067,10,0.3044330443573008,0.0047795795771968476,10,0.9534539553647514,0.0019318268738668855,10,0.7475586532617742,0.0014920296843891772,10,0.49511730652354835,0.0029840593687783953,10,359.89041311888997,11.00601799891481,10,0.8243442422625303,0.0014277900948601505,10
1.0,0.5,0.779544490026878,0.01902230390738069,10,0.7173975771177319,0.01651422045212673,10,0.4424062235406442,0.0047642691790003395,10,0.30903365067870636,0.007796546587859859,10,0.952675162411954,0.00279301123223888,10,0.7484710335723049,0.0016405694262955387,10,0.4969420671446098,0.0032811388525910666,10,351.8409019236834,16.847749782509222,10,0.8250529540879677,0.001135085410331893,10
